
"RM022 - Economic activity status by provision of unpaid care by general health"
"ONS Crown Copyright Reserved [from Nomis on 8 July 2026]"
"Population :","All usual residents aged 16 years and over"
"Units      :","Persons"
"Date       :","2021"
"General health:","Total"
"Provision of unpaid care:","Total"

"2021 super output area - lower layer","mnemonic","Total","Economically active (excluding full-time students)","Economically active (excluding full-time students): In employment","Economically active (excluding full-time students): Unemployed","Economically active and a full-time student","Economically active and a full-time student: In employment","Economically active and a full-time student: Unemployed","Economically inactive","Economically inactive: Retired","Economically inactive: Student","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"

"Lincoln 001A","E01026149",1358,746,709,37,19,6,13,593,286,51,100,110,46
"Lincoln 001B","E01026150",1396,804,745,59,20,12,8,572,226,53,83,148,62
"Lincoln 001C","E01026166",1120,590,555,35,34,26,8,496,193,80,73,90,60
"Lincoln 001D","E01026168",1269,730,674,56,31,26,5,508,135,84,111,135,43
"Lincoln 002A","E01026153",2104,1303,1257,46,42,34,8,759,493,84,87,60,35
"Lincoln 002B","E01026155",1495,1024,995,29,29,22,7,442,293,46,48,33,22
"Lincoln 002C","E01026157",1119,532,479,53,22,14,8,565,302,31,80,127,25
"Lincoln 002D","E01026165",1385,778,718,60,27,17,10,580,325,37,74,100,44
"Lincoln 003A","E01026125",1313,716,683,33,30,23,7,567,149,51,27,47,293
"Lincoln 003B","E01026144",1960,867,822,45,238,160,78,855,160,568,54,40,33
"Lincoln 003C","E01026147",2084,1335,1295,40,50,34,16,699,453,92,41,61,52
"Lincoln 003D","E01026148",1690,922,860,62,106,85,21,662,283,202,49,66,62
"Lincoln 003E","E01026151",1773,1008,972,36,88,68,20,677,398,109,62,73,35
"Lincoln 003F","E01026164",1364,565,548,17,100,68,32,699,379,237,38,25,20
"Lincoln 003G","E01026167",1632,822,792,30,87,64,23,723,430,167,54,41,31
"Lincoln 004A","E01026122",1921,910,853,57,185,105,80,826,158,513,47,63,45
"Lincoln 004B","E01026123",1917,1220,1143,77,44,32,12,653,204,131,130,118,70
"Lincoln 004C","E01026124",1488,1093,1048,45,50,32,18,345,100,75,62,56,52
"Lincoln 004D","E01026126",1665,867,768,99,69,51,18,729,179,156,98,173,123
"Lincoln 004E","E01026152",1116,574,519,55,23,17,6,519,119,72,131,135,62
"Lincoln 004F","E01026154",1070,650,605,45,14,8,6,406,187,54,63,62,40
"Lincoln 004G","E01026156",975,587,549,38,23,13,10,365,146,46,77,69,27
"Lincoln 005A","E01026132",3587,741,695,46,585,323,262,2261,130,1982,36,64,49
"Lincoln 005C","E01026145",1516,662,631,31,192,128,64,662,179,404,27,25,27
"Lincoln 005D","E01026146",1915,416,383,33,372,261,111,1127,177,790,28,96,36
"Lincoln 005E","E01034687",1171,443,425,18,155,121,34,573,105,373,22,45,28
"Lincoln 005F","E01034688",1764,385,373,12,306,190,116,1073,77,918,12,38,28
"Lincoln 006A","E01026134",1762,1098,1058,40,97,70,27,567,203,185,61,71,47
"Lincoln 006B","E01026176",1853,953,884,69,159,110,49,741,105,318,89,117,112
"Lincoln 006C","E01026177",1872,1071,1010,61,176,120,56,625,118,318,71,38,80
"Lincoln 006D","E01026178",1744,966,906,60,150,111,39,628,203,272,34,58,61
"Lincoln 007A","E01026127",1106,619,583,36,24,19,5,463,172,60,89,99,43
"Lincoln 007C","E01026129",1286,690,630,60,25,16,9,571,113,79,121,183,75
"Lincoln 007D","E01026131",1123,625,597,28,23,14,9,475,277,24,68,74,32
"Lincoln 007E","E01034689",907,628,616,12,21,17,4,258,145,32,37,28,16
"Lincoln 007F","E01034690",1295,788,759,29,26,19,7,481,293,50,57,53,28
"Lincoln 008B","E01026135",1490,838,806,32,23,16,7,629,451,38,55,55,30
"Lincoln 008C","E01026136",1485,943,916,27,28,18,10,514,355,46,37,44,32
"Lincoln 008D","E01026174",1274,850,801,49,40,24,16,384,151,67,49,41,76
"Lincoln 008E","E01034691",2717,508,475,33,478,273,205,1731,95,1522,37,58,19
"Lincoln 008F","E01034692",1230,730,691,39,93,68,25,407,141,167,40,38,21
"Lincoln 009A","E01026130",1170,609,590,19,13,7,6,548,405,29,39,47,28
"Lincoln 009B","E01026158",1254,613,596,17,18,16,2,623,482,48,29,37,27
"Lincoln 009C","E01026159",1214,824,802,22,27,24,3,363,226,33,39,37,28
"Lincoln 009D","E01026160",1140,712,702,10,13,7,6,415,297,35,35,29,19
"Lincoln 009E","E01026162",1240,658,630,28,22,14,8,560,373,45,68,47,27
"Lincoln 009F","E01026163",1118,701,693,8,20,14,6,397,286,39,23,27,22
"Lincoln 010A","E01026161",1128,630,589,41,18,15,3,480,263,32,68,86,31
"Lincoln 010B","E01026170",1198,692,662,30,19,16,3,487,215,49,89,88,46
"Lincoln 010C","E01026172",1211,704,660,44,27,22,5,480,174,55,110,101,40
"Lincoln 010D","E01026173",1213,606,546,60,35,24,11,572,150,71,130,160,61
"Lincoln 010E","E01026175",1521,1035,986,49,35,30,5,451,153,61,74,94,69
"Lincoln 011A","E01026137",989,620,599,21,19,16,3,350,221,36,32,26,35
"Lincoln 011B","E01026138",1205,743,728,15,11,9,2,451,344,39,36,17,15
"Lincoln 011C","E01026139",1113,670,653,17,31,21,10,412,303,44,28,28,9
"Lincoln 011D","E01026140",1085,683,646,37,21,17,4,381,194,31,48,62,46
"Lincoln 011E","E01026141",1268,814,789,25,42,36,6,412,251,58,45,34,24
"Lincoln 011F","E01026142",963,533,495,38,27,14,13,403,224,52,49,56,22
"Lincoln 011G","E01026169",1394,717,683,34,23,14,9,654,420,42,65,92,35
"Lincoln 011H","E01026171",1339,697,687,10,22,15,7,620,491,37,40,29,23
"East Lindsey 001A","E01026045",1674,759,736,23,15,10,5,900,672,41,79,83,25
"East Lindsey 001B","E01026061",970,498,474,24,17,12,5,455,337,26,44,26,22
"East Lindsey 001C","E01026062",948,537,517,20,12,8,4,399,265,38,35,36,25
"East Lindsey 001D","E01026063",1313,691,672,19,27,19,8,595,464,39,39,34,19
"East Lindsey 001E","E01026080",1701,846,823,23,21,17,4,834,674,27,68,34,31
"East Lindsey 001F","E01026106",1063,528,515,13,12,7,5,523,390,39,46,29,19
"East Lindsey 001G","E01026107",1077,604,589,15,27,24,3,446,259,69,60,26,32
"East Lindsey 002A","E01026058",1932,1069,1052,17,13,10,3,850,617,53,80,63,37
"East Lindsey 002B","E01026076",1948,954,911,43,18,15,3,976,707,58,98,69,44
"East Lindsey 002C","E01026079",1693,797,758,39,15,13,2,881,626,52,83,76,44
"East Lindsey 003A","E01026077",1208,626,585,41,18,13,5,564,321,57,70,81,35
"East Lindsey 003B","E01026078",872,437,418,19,10,8,2,425,259,21,50,78,17
"East Lindsey 003C","E01026087",1095,641,608,33,7,5,2,447,219,42,78,73,35
"East Lindsey 003D","E01026088",1192,598,574,24,13,8,5,581,455,28,35,31,32
"East Lindsey 003E","E01026090",1151,523,504,19,6,6,0,622,457,34,41,62,28
"East Lindsey 003F","E01026091",916,537,522,15,10,9,1,369,273,22,23,45,6
"East Lindsey 003G","E01026108",1988,1083,1007,76,23,15,8,882,428,89,122,181,62
"East Lindsey 004A","E01026081",1959,1071,1013,58,16,14,2,872,545,67,79,104,77
"East Lindsey 004C","E01026089",1770,867,828,39,13,11,2,890,689,60,50,58,33
"East Lindsey 004D","E01032986",978,519,484,35,17,15,2,442,313,23,30,45,31
"East Lindsey 004E","E01032987",1158,653,627,26,16,15,1,489,276,45,56,60,52
"East Lindsey 005A","E01026072",1926,691,603,88,11,9,2,1224,759,44,134,217,70
"East Lindsey 005B","E01026073",1717,608,533,75,22,14,8,1087,663,49,90,183,102
"East Lindsey 005C","E01026074",1912,663,596,67,9,7,2,1240,826,28,127,192,67
"East Lindsey 005D","E01026099",1781,783,744,39,21,17,4,977,723,34,65,102,53
"East Lindsey 006A","E01026103",1854,514,474,40,16,12,4,1324,1015,33,70,160,46
"East Lindsey 006B","E01026104",1973,533,479,54,16,13,3,1424,1165,28,77,104,50
"East Lindsey 006C","E01026109",1935,562,510,52,6,4,2,1367,1026,27,92,167,55
"East Lindsey 007A","E01026071",1860,915,880,35,32,23,9,913,671,55,68,69,50
"East Lindsey 007B","E01026082",2090,998,963,35,21,18,3,1071,836,46,84,57,48
"East Lindsey 007C","E01026121",2182,1157,1109,48,28,16,12,997,673,70,103,91,60
"East Lindsey 008A","E01026042",1373,689,651,38,11,9,2,673,376,62,84,107,44
"East Lindsey 008B","E01026043",1483,732,678,54,7,4,3,744,490,50,84,94,26
"East Lindsey 008C","E01026044",1237,538,505,33,9,4,5,690,527,24,44,42,53
"East Lindsey 008D","E01026113",1772,761,731,30,9,6,3,1002,732,51,72,95,52
"East Lindsey 008E","E01026117",1741,780,756,24,27,23,4,934,689,45,71,98,31
"East Lindsey 009A","E01026060",1146,542,520,22,15,14,1,589,436,23,45,54,31
"East Lindsey 009B","E01026068",1849,952,909,43,29,22,7,868,617,44,87,86,34
"East Lindsey 009C","E01026070",1834,1011,973,38,25,22,3,798,590,44,80,52,32
"East Lindsey 009D","E01026105",1910,985,951,34,18,14,4,907,683,54,88,62,20
"East Lindsey 010A","E01026048",1416,481,411,70,8,6,2,927,615,31,88,128,65
"East Lindsey 010B","E01026049",1389,542,505,37,10,8,2,837,587,24,84,91,51
"East Lindsey 010C","E01026050",1477,439,402,37,10,9,1,1028,780,21,77,111,39
"East Lindsey 010D","E01026069",2027,811,719,92,19,14,5,1197,742,49,127,196,83
"East Lindsey 011A","E01026064",1280,714,670,44,29,24,5,537,256,46,103,87,45
"East Lindsey 011B","E01026065",1637,815,795,20,20,17,3,802,640,40,49,56,17
"East Lindsey 011C","E01026066",1768,887,874,13,26,25,1,855,656,39,66,60,34
"East Lindsey 011D","E01026067",1634,897,850,47,25,20,5,712,417,55,72,119,49
"East Lindsey 012A","E01026084",1314,665,614,51,12,9,3,637,370,45,80,89,53
"East Lindsey 012C","E01026115",1472,580,512,68,11,6,5,881,549,43,91,140,58
"East Lindsey 012D","E01026116",1425,691,641,50,16,14,2,718,402,56,91,101,68
"East Lindsey 012E","E01034685",1147,374,349,25,7,4,3,766,638,8,44,56,20
"East Lindsey 012F","E01034686",1316,803,750,53,21,19,2,492,324,23,68,47,30
"East Lindsey 013A","E01026046",1108,575,540,35,11,11,0,522,353,30,46,66,27
"East Lindsey 013B","E01026047",1124,471,463,8,17,13,4,636,523,13,45,33,22
"East Lindsey 013C","E01026055",1006,469,452,17,6,6,0,531,384,32,48,45,22
"East Lindsey 013D","E01026059",1060,459,432,27,6,5,1,595,401,35,50,81,28
"East Lindsey 013E","E01026100",1480,846,804,42,10,8,2,624,395,59,73,44,53
"East Lindsey 013F","E01026101",1111,502,473,29,13,8,5,596,337,35,60,121,43
