
"RM060 - Household composition by number of people in household with a disability"
"ONS Crown Copyright Reserved [from Nomis on 8 July 2026]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"
"Number of disabled people in household:","Total"

"2021 super output area - lower layer","mnemonic","Total","One-person household","Single family household","Single family household: All aged 66 years and over","Single family household: Couple family household","Single family household: Lone parent household","Other household types"

"Lincoln 001A","E01026149",782,285,455,49,293,113,42
"Lincoln 001B","E01026150",860,373,438,30,259,149,49
"Lincoln 001C","E01026166",609,192,358,38,202,118,59
"Lincoln 001D","E01026168",691,202,445,27,264,154,44
"Lincoln 002A","E01026153",1096,362,660,82,496,82,74
"Lincoln 002B","E01026155",809,236,535,59,402,74,38
"Lincoln 002C","E01026157",641,222,393,73,216,104,26
"Lincoln 002D","E01026165",827,330,461,55,296,110,36
"Lincoln 003A","E01026125",519,164,305,35,212,58,50
"Lincoln 003B","E01026144",891,267,392,23,290,79,232
"Lincoln 003C","E01026147",1068,315,658,79,507,72,95
"Lincoln 003D","E01026148",975,432,406,40,269,97,137
"Lincoln 003E","E01026151",968,342,550,81,379,90,76
"Lincoln 003F","E01026164",565,159,370,70,266,34,36
"Lincoln 003G","E01026167",807,312,440,103,313,24,55
"Lincoln 004A","E01026122",801,323,335,23,258,54,143
"Lincoln 004B","E01026123",1053,345,613,35,415,163,95
"Lincoln 004C","E01026124",745,235,368,13,271,84,142
"Lincoln 004D","E01026126",917,429,347,23,223,101,141
"Lincoln 004E","E01026152",570,137,386,14,216,156,47
"Lincoln 004F","E01026154",529,118,367,37,235,95,44
"Lincoln 004G","E01026156",485,109,341,26,221,94,35
"Lincoln 005A","E01026132",778,377,257,15,198,44,144
"Lincoln 005C","E01026145",655,214,294,30,227,37,147
"Lincoln 005D","E01026146",741,291,183,13,126,44,267
"Lincoln 005E","E01034687",461,136,165,14,135,16,160
"Lincoln 005F","E01034688",432,190,143,17,108,18,99
"Lincoln 006A","E01026134",938,393,392,13,308,71,153
"Lincoln 006B","E01026176",1010,470,322,10,246,66,218
"Lincoln 006C","E01026177",814,200,339,11,243,85,275
"Lincoln 006D","E01026178",801,259,342,26,243,73,200
"Lincoln 007A","E01026127",632,215,382,24,218,140,35
"Lincoln 007C","E01026129",718,219,455,16,260,179,44
"Lincoln 007D","E01026131",604,181,389,69,254,66,34
"Lincoln 007E","E01034689",518,141,352,29,241,82,25
"Lincoln 007F","E01034690",694,211,443,69,295,79,40
"Lincoln 008B","E01026135",759,187,541,109,365,67,31
"Lincoln 008C","E01026136",783,216,531,87,367,77,36
"Lincoln 008D","E01026174",659,243,342,17,256,69,74
"Lincoln 008E","E01034691",462,166,246,24,154,68,50
"Lincoln 008F","E01034692",639,211,312,23,217,72,116
"Lincoln 009A","E01026130",623,168,431,111,272,48,24
"Lincoln 009B","E01026158",659,208,425,122,260,43,26
"Lincoln 009C","E01026159",661,210,425,42,298,85,26
"Lincoln 009D","E01026160",611,173,420,87,280,53,18
"Lincoln 009E","E01026162",642,192,414,86,267,61,36
"Lincoln 009F","E01026163",603,176,407,70,296,41,20
"Lincoln 010A","E01026161",660,281,340,36,203,101,39
"Lincoln 010B","E01026170",645,159,456,52,301,103,30
"Lincoln 010C","E01026172",641,196,392,25,278,89,53
"Lincoln 010D","E01026173",694,258,396,14,207,175,40
"Lincoln 010E","E01026175",933,405,423,16,295,112,105
"Lincoln 011A","E01026137",480,123,329,46,240,43,28
"Lincoln 011B","E01026138",623,157,443,92,298,53,23
"Lincoln 011C","E01026139",565,119,423,77,293,53,23
"Lincoln 011D","E01026140",628,236,365,32,246,87,27
"Lincoln 011E","E01026141",601,103,470,62,345,63,28
"Lincoln 011F","E01026142",503,138,335,48,212,75,30
"Lincoln 011G","E01026169",724,204,473,107,299,67,47
"Lincoln 011H","E01026171",694,208,455,123,289,43,31
"East Lindsey 001A","E01026045",879,243,595,187,351,57,41
"East Lindsey 001B","E01026061",503,112,368,93,236,39,23
"East Lindsey 001C","E01026062",517,167,324,62,217,45,26
"East Lindsey 001D","E01026063",689,170,497,130,319,48,22
"East Lindsey 001E","E01026080",904,232,635,186,393,56,37
"East Lindsey 001F","E01026106",531,128,384,95,246,43,19
"East Lindsey 001G","E01026107",502,103,375,69,263,43,24
"East Lindsey 002A","E01026058",1016,246,726,165,491,70,44
"East Lindsey 002B","E01026076",977,220,699,186,454,59,58
"East Lindsey 002C","E01026079",865,229,571,157,360,54,65
"East Lindsey 003A","E01026077",644,160,454,80,267,107,30
"East Lindsey 003B","E01026078",476,171,291,45,189,57,14
"East Lindsey 003C","E01026087",628,186,427,42,286,99,15
"East Lindsey 003D","E01026088",625,187,418,108,264,46,20
"East Lindsey 003E","E01026090",622,213,388,98,229,61,21
"East Lindsey 003F","E01026091",496,133,344,63,238,43,19
"East Lindsey 003G","E01026108",1103,373,679,87,441,151,51
"East Lindsey 004A","E01026081",1193,521,644,108,402,134,28
"East Lindsey 004C","E01026089",992,364,596,156,361,79,32
"East Lindsey 004D","E01032986",597,278,297,58,179,60,22
"East Lindsey 004E","E01032987",701,286,390,51,237,102,25
"East Lindsey 005A","E01026072",1012,324,618,162,331,125,70
"East Lindsey 005B","E01026073",961,388,501,139,284,78,72
"East Lindsey 005C","E01026074",1058,337,669,198,371,100,52
"East Lindsey 005D","E01026099",905,229,617,171,391,55,59
"East Lindsey 006A","E01026103",1006,367,588,232,298,58,51
"East Lindsey 006B","E01026104",1081,285,756,323,366,67,40
"East Lindsey 006C","E01026109",1116,405,663,259,347,57,48
"East Lindsey 007A","E01026071",949,229,676,175,441,60,44
"East Lindsey 007B","E01026082",1037,249,735,221,463,51,53
"East Lindsey 007C","E01026121",1157,340,761,177,501,83,56
"East Lindsey 008A","E01026042",772,251,480,81,291,108,41
"East Lindsey 008B","E01026043",811,261,520,107,327,86,30
"East Lindsey 008C","E01026044",613,155,421,129,257,35,37
"East Lindsey 008D","E01026113",923,261,610,185,368,57,52
"East Lindsey 008E","E01026117",870,230,582,172,365,45,58
"East Lindsey 009A","E01026060",581,136,413,111,275,27,32
"East Lindsey 009B","E01026068",945,228,667,167,433,67,50
"East Lindsey 009C","E01026070",950,221,679,156,457,66,50
"East Lindsey 009D","E01026105",990,243,705,190,456,59,42
"East Lindsey 010A","E01026048",783,269,475,141,271,63,39
"East Lindsey 010B","E01026049",751,238,473,132,302,39,40
"East Lindsey 010C","E01026050",816,259,510,211,256,43,47
"East Lindsey 010D","E01026069",1062,345,663,184,377,102,54
"East Lindsey 011A","E01026064",712,211,482,53,308,121,19
"East Lindsey 011B","E01026065",887,288,563,157,342,64,36
"East Lindsey 011C","E01026066",969,265,671,180,431,60,33
"East Lindsey 011D","E01026067",975,438,502,78,320,104,35
"East Lindsey 012A","E01026084",711,225,430,76,272,82,56
"East Lindsey 012C","E01026115",816,287,484,118,289,77,45
"East Lindsey 012D","E01026116",728,200,481,91,315,75,47
"East Lindsey 012E","E01034685",641,213,407,161,217,29,21
"East Lindsey 012F","E01034686",744,205,494,69,335,90,45
"East Lindsey 013A","E01026046",600,164,410,84,272,54,26
"East Lindsey 013B","E01026047",622,177,422,162,217,43,23
"East Lindsey 013C","E01026055",492,114,348,82,245,21,30
"East Lindsey 013D","E01026059",492,114,342,82,236,24,36
"East Lindsey 013E","E01026100",845,269,556,104,354,98,20
"East Lindsey 013F","E01026101",613,248,338,64,209,65,27
"East Lindsey 014A","E01026092",645,239,357,38,252,67,49
"East Lindsey 014B","E01026093",917,467,366,42,260,64,84
"East Lindsey 014C","E01026095",595,258,303,54,205,44,34
"East Lindsey 014D","E01026114",785,317,409,69,257,83,59
"East Lindsey 015A","E01026083",789,280,462,70,253,139,47
"East Lindsey 015B","E01026094",1068,393,643,121,356,166,32
"East Lindsey 015C","E01026096",619,124,457,93,308,56,38
"East Lindsey 015D","E01026097",748,294,412,110,230,72,42
"East Lindsey 016A","E01026051",612,164,420,86,286,48,28
"East Lindsey 016B","E01026052",844,218,598,127,413,58,28
"East Lindsey 016C","E01026053",779,153,585,83,437,65,41
"East Lindsey 016D","E01026054",715,248,431,81,253,97,36
"East Lindsey 016E","E01026118",849,227,598,228,331,39,24
"East Lindsey 016F","E01026119",516,139,359,143,204,12,18
"East Lindsey 016G","E01026120",736,299,408,104,240,64,29
"East Lindsey 017A","E01026056",523,104,375,91,262,22,44
"East Lindsey 017B","E01026110",687,201,452,126,285,41,34
"East Lindsey 017C","E01026111",667,172,445,115,276,54,50
"East Lindsey 017D","E01026112",504,153,317,33,211,73,34
"East Lindsey 018A","E01026057",867,241,579,127,397,55,47
"East Lindsey 018B","E01026075",957,229,676,182,437,57,52
"East Lindsey 018C","E01026098",904,240,625,151,407,67,39
"East Lindsey 018D","E01026102",994,247,667,165,431,71,80
"West Lindsey 001A","E01026367",798,309,461,85,305,71,28
"West Lindsey 001B","E01026368",837,221,582,111,376,95,34
"West Lindsey 001C","E01026387",1143,254,828,167,600,61,61
"West Lindsey 001D","E01026416",572,161,386,86,261,39,25
"West Lindsey 001G","E01032683",1029,336,659,157,444,58,34
"West Lindsey 002A","E01026380",1072,270,755,86,548,121,47
"West Lindsey 002B","E01026401",657,131,502,115,350,37,24
"West Lindsey 002C","E01026402",848,267,550,135,361,54,31
"West Lindsey 002D","E01026403",555,124,402,86,289,27,29
"West Lindsey 002E","E01026407",595,169,383,64,267,52,43
"West Lindsey 002F","E01026408",600,173,406,104,267,35,21
"West Lindsey 003A","E01026389",907,419,454,78,273,103,34
"West Lindsey 003B","E01026390",876,324,522,110,310,102,30
"West Lindsey 003C","E01026391",898,239,632,159,419,54,27
"West Lindsey 003D","E01026392",1337,377,908,209,628,71,52
"West Lindsey 003E","E01026415",494,156,315,63,213,39,23
"West Lindsey 004A","E01026378",739,232,472,49,282,141,35
"West Lindsey 004B","E01026379",822,278,507,54,326,127,37
"West Lindsey 004C","E01026381",875,382,457,77,270,110,36
"West Lindsey 004D","E01026382",786,269,490,68,322,100,27
"West Lindsey 004E","E01026383",733,410,264,17,168,79,59
"West Lindsey 004F","E01026384",1101,551,498,58,300,140,52
"West Lindsey 005A","E01026385",496,133,343,87,226,30,20
"West Lindsey 005B","E01026386",537,148,358,50,250,58,31
"West Lindsey 005C","E01026399",655,164,465,95,326,44,26
"West Lindsey 005D","E01026411",1098,294,757,162,528,67,47
"West Lindsey 006A","E01026374",616,198,393,31,225,137,25
"West Lindsey 006B","E01026375",845,244,556,59,342,155,45
"West Lindsey 006C","E01026376",764,273,461,86,253,122,30
"West Lindsey 006D","E01026377",920,240,646,72,429,145,34
"West Lindsey 007A","E01026388",964,266,662,170,442,50,36
"West Lindsey 007B","E01026404",1058,298,707,156,472,79,53
"West Lindsey 007C","E01026409",565,139,407,93,286,28,19
"West Lindsey 007D","E01026410",784,219,539,242,258,39,26
"West Lindsey 008A","E01026372",1082,278,768,162,507,99,36
"West Lindsey 008B","E01026412",846,255,569,101,381,87,22
"West Lindsey 008C","E01026413",893,222,642,137,439,66,29
"West Lindsey 008D","E01026414",811,195,578,111,398,69,38
"West Lindsey 009A","E01026396",638,207,413,131,248,34,18
"West Lindsey 009C","E01026398",785,290,471,110,281,80,24
"West Lindsey 009D","E01026400",599,127,449,43,359,47,23
"West Lindsey 009E","E01034706",643,127,503,77,359,67,13
"West Lindsey 009F","E01034707",612,198,395,96,274,25,19
"West Lindsey 010A","E01026393",686,174,495,148,309,38,17
"West Lindsey 010B","E01026394",991,247,704,105,528,71,40
"West Lindsey 010C","E01026395",754,265,469,167,266,36,20
"West Lindsey 010D","E01026405",602,126,459,93,319,47,17
"West Lindsey 010E","E01026406",515,123,380,105,248,27,12
"West Lindsey 011A","E01026366",1072,289,745,157,482,106,38
"West Lindsey 011B","E01026369",594,185,392,88,239,65,17
"West Lindsey 011C","E01026370",1149,320,786,182,512,92,43
"West Lindsey 011D","E01026371",530,133,372,103,241,28,25
"West Lindsey 011E","E01026373",942,251,644,142,443,59,47
"North Lincolnshire 001A","E01013254",850,332,494,84,304,106,24
"North Lincolnshire 001B","E01013255",1015,390,581,107,401,73,44
"North Lincolnshire 001C","E01013256",1096,310,735,104,541,90,51
"North Lincolnshire 001D","E01013257",852,231,594,154,383,57,27
"North Lincolnshire 001E","E01013258",710,201,474,44,335,95,35
"North Lincolnshire 001F","E01013259",831,188,607,95,392,120,36
"North Lincolnshire 002A","E01013303",588,168,379,69,255,55,41
"North Lincolnshire 002B","E01013304",682,170,485,98,348,39,27
"North Lincolnshire 002C","E01013305",671,146,496,94,355,47,29
"North Lincolnshire 002D","E01013307",798,227,552,112,376,64,19
"North Lincolnshire 003A","E01013288",680,208,451,72,310,69,21
"North Lincolnshire 003B","E01013291",625,183,407,46,252,109,35
"North Lincolnshire 003C","E01013292",767,203,541,132,343,66,23
"North Lincolnshire 003D","E01013294",681,169,472,114,332,26,40
"North Lincolnshire 004A","E01013270",849,200,607,109,426,72,42
"North Lincolnshire 004B","E01013306",696,169,489,81,345,63,38
"North Lincolnshire 004C","E01013308",803,216,543,81,368,94,44
"North Lincolnshire 004D","E01013309",705,187,484,84,344,56,34
"North Lincolnshire 005A","E01013286",1190,524,635,150,349,136,31
"North Lincolnshire 005B","E01013287",693,239,426,96,286,44,28
"North Lincolnshire 005C","E01013289",713,236,445,64,325,56,32
"North Lincolnshire 005D","E01013290",750,181,521,131,344,46,48
"North Lincolnshire 005E","E01013293",673,194,464,114,305,45,15
"North Lincolnshire 006A","E01013245",607,171,405,44,253,108,31
"North Lincolnshire 006B","E01013246",643,160,444,75,322,47,39
"North Lincolnshire 006C","E01013247",725,180,504,85,375,44,41
"North Lincolnshire 006D","E01013248",791,233,529,127,341,61,29
"North Lincolnshire 006E","E01013249",789,245,502,61,339,102,42
"North Lincolnshire 007A","E01013297",1012,262,642,52,456,134,108
"North Lincolnshire 007B","E01013300",613,167,295,9,224,62,151
"North Lincolnshire 007C","E01013302",565,124,383,75,258,50,58
"North Lincolnshire 007D","E01013331",820,395,352,33,240,79,73
"North Lincolnshire 008A","E01013296",653,182,335,11,219,105,136
"North Lincolnshire 008B","E01013298",569,107,396,27,271,98,66
"North Lincolnshire 008C","E01013299",647,215,382,29,259,94,50
"North Lincolnshire 008D","E01013330",825,329,391,22,275,94,105
"North Lincolnshire 008E","E01013332",673,185,343,38,225,80,145
"North Lincolnshire 009A","E01013295",611,161,427,103,257,67,23
"North Lincolnshire 009B","E01013301",652,171,438,71,295,72,43
"North Lincolnshire 009C","E01013333",603,140,401,42,301,58,62
"North Lincolnshire 009D","E01013334",658,155,454,50,331,73,49
"North Lincolnshire 010A","E01013310",623,173,397,50,248,99,53
"North Lincolnshire 010B","E01013312",843,287,482,16,294,172,74
"North Lincolnshire 010C","E01013313",669,208,419,55,292,72,42
"North Lincolnshire 010D","E01013314",646,202,386,47,268,71,58
"North Lincolnshire 011A","E01013267",527,133,383,79,278,26,11
"North Lincolnshire 011B","E01013268",566,163,383,86,258,39,20
"North Lincolnshire 011C","E01013269",749,186,538,119,375,44,25
"North Lincolnshire 011D","E01013271",809,197,573,62,391,120,39
"North Lincolnshire 011E","E01013272",868,402,412,96,258,58,54
"North Lincolnshire 011F","E01013273",750,218,508,140,333,35,24
"North Lincolnshire 012A","E01013279",726,326,371,34,209,128,29
"North Lincolnshire 012B","E01013285",517,135,358,93,224,41,24
"North Lincolnshire 012C","E01013316",577,125,419,101,285,33,33
"North Lincolnshire 012D","E01013321",667,155,483,87,343,53,29
"North Lincolnshire 013A","E01013274",831,244,560,90,410,60,27
"North Lincolnshire 013B","E01013275",650,153,482,116,317,49,15
"North Lincolnshire 013C","E01013276",745,240,472,101,297,74,33
"North Lincolnshire 013D","E01013277",638,187,429,72,304,53,22
"North Lincolnshire 014A","E01013315",778,384,364,56,225,83,30
"North Lincolnshire 014B","E01013317",548,156,365,57,253,55,27
"North Lincolnshire 014C","E01013318",609,181,390,45,282,63,38
"North Lincolnshire 014D","E01013319",895,290,556,50,355,151,49
"North Lincolnshire 015A","E01013238",775,301,430,44,279,107,44
"North Lincolnshire 015C","E01013311",762,257,453,34,270,149,52
"North Lincolnshire 015D","E01013320",600,204,378,53,256,69,18
"North Lincolnshire 015E","E01035481",587,165,389,43,243,103,33
"North Lincolnshire 015F","E01035482",510,133,357,9,285,63,20
"North Lincolnshire 015G","E01035483",520,136,360,12,290,58,24
"North Lincolnshire 016A","E01013278",657,220,395,21,219,155,42
"North Lincolnshire 016B","E01013280",605,152,414,77,267,70,39
"North Lincolnshire 016C","E01013281",520,116,362,28,231,103,42
"North Lincolnshire 016D","E01013283",537,103,395,46,238,111,39
"North Lincolnshire 017A","E01013236",739,258,454,81,297,76,27
"North Lincolnshire 017B","E01013239",700,284,390,65,252,73,26
"North Lincolnshire 017C","E01013282",650,191,417,38,293,86,42
"North Lincolnshire 017D","E01013284",639,189,413,40,265,108,37
"North Lincolnshire 018B","E01013237",637,177,408,28,247,133,52
"North Lincolnshire 018C","E01013261",638,182,444,125,279,40,12
"North Lincolnshire 018D","E01013262",597,179,404,142,231,31,14
"North Lincolnshire 018E","E01013263",658,208,424,110,269,45,26
"North Lincolnshire 018F","E01033296",594,167,397,68,273,56,30
"North Lincolnshire 018G","E01033297",688,153,504,6,386,112,31
"North Lincolnshire 019A","E01013260",659,186,446,130,281,35,27
"North Lincolnshire 019B","E01013264",829,237,556,98,391,67,36
"North Lincolnshire 019C","E01013265",734,218,493,125,326,42,23
"North Lincolnshire 019D","E01013266",836,262,539,122,352,65,35
"North Lincolnshire 020A","E01013241",749,294,428,123,268,37,27
"North Lincolnshire 020B","E01013242",738,137,560,107,408,45,41
"North Lincolnshire 020C","E01013243",936,199,699,125,479,95,38
"North Lincolnshire 020D","E01013244",842,250,562,100,368,94,30
"North Lincolnshire 021A","E01013324",613,142,444,97,313,34,27
"North Lincolnshire 021B","E01013326",706,183,511,137,319,55,12
"North Lincolnshire 021C","E01013327",689,260,413,145,235,33,16
"North Lincolnshire 021D","E01013328",514,89,411,88,288,35,14
"North Lincolnshire 022A","E01013322",914,235,645,110,462,73,34
"North Lincolnshire 022B","E01013323",682,183,468,102,314,52,31
"North Lincolnshire 022C","E01013325",651,168,460,131,293,36,23
"North Lincolnshire 022D","E01013329",817,227,555,121,381,53,35
"North Lincolnshire 023A","E01013250",722,167,517,123,339,55,38
"North Lincolnshire 023B","E01013251",776,167,582,132,402,48,27
"North Lincolnshire 023C","E01013252",686,152,501,132,340,29,33
"North Lincolnshire 023D","E01013253",848,227,586,102,409,75,35
"North Kesteven 001A","E01026186",736,186,513,122,326,65,37
"North Kesteven 001B","E01026187",780,168,581,50,458,73,31
"North Kesteven 001C","E01026189",816,213,581,175,357,49,22
"North Kesteven 001D","E01026203",889,261,598,190,362,46,30
"North Kesteven 001E","E01026204",752,206,528,169,313,46,18
"North Kesteven 001F","E01026206",781,189,563,113,403,47,29
"North Kesteven 003B","E01026182",636,170,441,92,304,45,25
"North Kesteven 003C","E01026193",643,132,489,106,352,31,22
"North Kesteven 003D","E01026199",1082,256,778,170,533,75,48
"North Kesteven 003E","E01026225",741,209,498,65,357,76,34
"North Kesteven 003F","E01026226",834,227,578,175,359,44,29
"North Kesteven 003H","E01032994",668,167,477,79,318,80,24
"North Kesteven 003I","E01034693",673,116,532,27,449,56,25
