
"RM069 - Disability by general health by age"
"ONS Crown Copyright Reserved [from Nomis on 8 July 2026]"
"Population :","All usual residents in households"
"Units      :","Persons"
"Date       :","2021"
"Disability :","Total"
"General health:","Total"

"2021 super output area - middle layer","mnemonic","Total","Aged 14 years and under","Aged 15 to 24 years","Aged 25 to 34 years","Aged 35 to 44 years","Aged 45 to 54 years","Aged 55 to 64 years","Aged 65 to 74 years","Aged 75 years and over"

"Lincoln 001","E02005442",6591,1418,848,1050,858,792,755,493,377
"Lincoln 002","E02005443",7405,1338,742,1210,943,913,899,725,635
"Lincoln 003","E02005444",12785,1715,2576,1879,1517,1467,1503,1132,996
"Lincoln 004","E02005445",12155,2376,1955,2211,1818,1439,1182,728,446
"Lincoln 005","E02005446",7054,475,3193,1098,601,490,562,395,240
"Lincoln 006","E02005447",8143,1013,2221,1739,1089,840,676,314,251
"Lincoln 007","E02005448",7321,1534,886,1165,983,907,795,570,481
"Lincoln 008","E02005449",7424,1153,1137,1253,911,935,883,648,504
"Lincoln 009","E02005450",8350,1215,809,1073,987,1041,1184,1121,920
"Lincoln 010","E02005451",7998,1668,1000,1243,1112,1088,906,557,424
"Lincoln 011","E02005452",11313,1861,1191,1338,1362,1548,1600,1351,1062
"East Lindsey 001","E02005424",10071,1327,831,914,880,1370,1759,1669,1321
"East Lindsey 002","E02005425",6509,872,502,552,561,885,1165,1099,873
"East Lindsey 003","E02005426",10311,1925,977,1242,1118,1370,1369,1215,1095
"East Lindsey 004","E02005427",6793,958,657,743,703,939,969,973,851
"East Lindsey 005","E02005428",8288,1037,634,672,620,937,1508,1652,1228
"East Lindsey 006","E02005429",6147,457,302,304,280,564,1190,1665,1385
"East Lindsey 007","E02005430",7025,858,581,596,568,916,1262,1213,1031
"East Lindsey 008","E02005431",8719,1138,768,735,728,1095,1484,1565,1206
"East Lindsey 009","E02005432",7688,935,598,598,633,1019,1507,1395,1003
"East Lindsey 010","E02005433",6848,647,445,439,448,796,1348,1593,1132
"East Lindsey 011","E02005434",7467,1159,690,794,707,1037,1110,964,1006
"East Lindsey 012","E02005435",7804,1092,718,806,773,918,1237,1290,970
"East Lindsey 013","E02005436",8045,1192,673,756,746,1022,1229,1310,1117
"East Lindsey 014","E02005437",6035,931,680,800,659,841,903,719,502
"East Lindsey 015","E02005438",6996,1197,705,717,673,852,959,1007,886
"East Lindsey 016","E02005439",11219,1812,930,1276,1152,1300,1601,1594,1554
"East Lindsey 017","E02005440",5513,772,535,457,450,782,928,898,691
"East Lindsey 018","E02005441",8432,1094,719,662,741,1178,1545,1365,1128
"West Lindsey 001","E02005492",9736,1447,832,805,962,1393,1736,1490,1071
"West Lindsey 002","E02005493",9973,1552,1025,1013,1077,1427,1530,1327,1022
"West Lindsey 003","E02005494",9617,1395,800,967,922,1306,1534,1423,1270
"West Lindsey 004","E02005495",10374,1871,1140,1509,1241,1383,1429,1020,781
"West Lindsey 005","E02005496",6260,863,526,600,642,933,1090,947,659
"West Lindsey 006","E02005497",7371,1695,834,942,882,928,841,718,531
"West Lindsey 007","E02005498",7281,906,511,584,631,995,1231,1313,1110
"West Lindsey 008","E02005499",8480,1431,860,765,974,1207,1237,1104,902
"West Lindsey 009","E02005500",7174,1053,624,792,744,1002,1192,963,804
"West Lindsey 010","E02005501",8087,1239,671,762,894,1070,1170,1176,1105
"West Lindsey 011","E02005502",9655,1515,824,1038,1096,1196,1389,1407,1190
"North East Lincolnshire 001","E02002726",10251,1798,1022,1205,1247,1387,1387,1220,985
"North East Lincolnshire 002","E02002727",4953,1014,649,766,561,611,645,415,292
"North East Lincolnshire 003","E02002728",7547,1486,891,1267,1005,974,934,598,392
"North East Lincolnshire 004","E02002729",5599,903,590,603,621,744,887,751,500
"North East Lincolnshire 005","E02002730",7149,1694,934,1098,883,867,867,519,287
"North East Lincolnshire 006","E02002731",5638,1359,790,896,738,642,644,345,224
"North East Lincolnshire 007","E02002732",7855,1272,749,816,873,1179,1199,976,791
"North East Lincolnshire 008","E02002733",5716,893,520,868,685,763,849,611,527
"North East Lincolnshire 009","E02002734",5438,997,558,804,653,667,710,553,496
"North East Lincolnshire 011","E02002736",5608,1282,754,958,716,756,618,341,183
"North East Lincolnshire 012","E02002737",6940,1156,678,925,777,928,1100,787,589
"North East Lincolnshire 013","E02002738",6897,1216,663,905,800,864,1019,863,567
"North East Lincolnshire 014","E02002739",5750,974,493,776,682,710,833,697,585
"North East Lincolnshire 015","E02002740",5403,1024,616,724,646,698,730,534,431
"North East Lincolnshire 016","E02002741",8586,1558,927,1102,1038,1173,1206,882,700
"North East Lincolnshire 018","E02002743",5341,692,420,479,482,612,784,926,946
"North East Lincolnshire 019","E02002744",6928,1716,925,934,790,828,811,609,315
"North East Lincolnshire 020","E02002745",7064,781,593,502,616,1017,1243,1111,1201
"North East Lincolnshire 021","E02002746",9766,1713,940,1194,1174,1261,1370,1029,1085
"North East Lincolnshire 022","E02002747",9184,1376,901,942,985,1335,1307,1139,1199
"North East Lincolnshire 023","E02002748",7772,1032,643,676,794,995,1312,1258,1062
"North East Lincolnshire 024","E02007081",10066,1606,981,1172,1100,1440,1451,1293,1023
"North Lincolnshire 001","E02002749",11793,1894,1116,1479,1383,1607,1707,1514,1093
"North Lincolnshire 002","E02002750",6277,961,535,594,653,996,1052,881,605
"North Lincolnshire 003","E02002751",6310,1020,607,676,664,868,936,866,673
"North Lincolnshire 004","E02002752",7098,1194,613,702,769,1033,1196,943,648
"North Lincolnshire 005","E02002753",8342,1106,663,870,803,1156,1371,1232,1141
"North Lincolnshire 006","E02002754",8198,1328,793,865,908,1159,1335,1058,752
"North Lincolnshire 007","E02002755",7288,1366,783,1276,1097,944,857,532,433
"North Lincolnshire 008","E02002756",8883,1800,1258,1538,1503,1142,804,490,348
"North Lincolnshire 009","E02002757",6287,1162,672,922,772,854,771,561,573
"North Lincolnshire 010","E02002758",6441,1227,828,968,842,826,785,575,390
"North Lincolnshire 011","E02002759",9384,1353,837,890,942,1291,1603,1409,1059
"North Lincolnshire 012","E02002760",5664,937,616,663,621,739,821,751,516
"North Lincolnshire 013","E02002761",6322,903,606,682,631,947,1056,803,694
"North Lincolnshire 014","E02002762",6282,1107,705,811,797,817,853,656,536
"North Lincolnshire 015","E02002763",8717,1912,1000,1457,1187,1082,970,645,464
"North Lincolnshire 016","E02002764",5996,1450,804,775,752,713,649,451,402
"North Lincolnshire 017","E02002765",6089,1134,598,877,706,735,835,641,563
