
"RM113 - Provision of unpaid care by age"
"ONS Crown Copyright Reserved [from Nomis on 8 July 2026]"
"Population :","All usual residents aged 5 years and over"
"Units      :","Persons"
"Date       :","2021"
"Provision of unpaid care:","Total"

"2021 super output area - lower layer","mnemonic","Total","Aged 15 years and under","Aged 16 to 24 years","Aged 25 to 34 years","Aged 35 to 49 years","Aged 50 to 64 years","Aged 65 years and over"

"Lincoln 001A","E01026149",1588,235,172,268,296,332,285
"Lincoln 001B","E01026150",1646,251,167,297,358,329,244
"Lincoln 001C","E01026166",1333,209,198,223,236,259,208
"Lincoln 001D","E01026168",1590,324,227,263,326,281,169
"Lincoln 002A","E01026153",2411,308,243,412,489,475,484
"Lincoln 002B","E01026155",1745,256,158,299,381,363,288
"Lincoln 002C","E01026157",1343,225,113,194,223,264,324
"Lincoln 002D","E01026165",1574,183,169,307,282,294,339
"Lincoln 003A","E01026125",1436,118,211,343,355,254,155
"Lincoln 003B","E01026144",2160,202,915,325,312,230,176
"Lincoln 003C","E01026147",2372,290,259,357,550,485,431
"Lincoln 003D","E01026148",1810,117,426,404,266,309,288
"Lincoln 003E","E01026151",1992,226,318,301,370,376,401
"Lincoln 003F","E01026164",1512,147,369,98,229,314,355
"Lincoln 003G","E01026167",1772,143,329,194,302,349,455
"Lincoln 004A","E01026122",2075,151,803,381,309,269,162
"Lincoln 004B","E01026123",2396,477,305,469,589,332,224
"Lincoln 004C","E01026124",1717,228,244,489,414,233,109
"Lincoln 004D","E01026126",1842,174,357,377,384,353,197
"Lincoln 004E","E01026152",1426,315,200,206,325,248,132
"Lincoln 004F","E01026154",1316,237,148,204,271,256,200
"Lincoln 004G","E01026156",1214,237,164,140,282,240,151
"Lincoln 005A","E01026132",3646,60,2617,419,243,174,133
"Lincoln 005C","E01026145",1626,110,667,203,225,246,175
"Lincoln 005D","E01026146",1992,72,1237,163,163,166,191
"Lincoln 005E","E01034687",1230,58,606,187,144,130,105
"Lincoln 005F","E01034688",1802,40,1265,189,115,111,82
"Lincoln 006A","E01026134",1911,150,435,444,369,306,207
"Lincoln 006B","E01026176",2025,173,598,455,417,266,116
"Lincoln 006C","E01026177",2102,233,668,444,420,211,126
"Lincoln 006D","E01026178",1905,157,501,399,345,279,224
"Lincoln 007A","E01026127",1315,218,184,228,251,246,188
"Lincoln 007C","E01026129",1627,339,247,293,346,269,133
"Lincoln 007D","E01026131",1303,183,107,187,238,289,299
"Lincoln 007E","E01034689",1111,201,117,238,250,167,138
"Lincoln 007F","E01034690",1472,176,150,219,315,316,296
"Lincoln 008B","E01026135",1678,185,157,192,315,399,430
"Lincoln 008C","E01026136",1668,189,183,255,307,361,373
"Lincoln 008D","E01026174",1429,154,225,340,289,254,167
"Lincoln 008E","E01034691",2850,135,1992,246,209,169,99
"Lincoln 008F","E01034692",1383,153,356,298,240,196,140
"Lincoln 009A","E01026130",1311,141,96,152,209,294,419
"Lincoln 009B","E01026158",1366,116,111,148,236,269,486
"Lincoln 009C","E01026159",1398,188,156,240,288,279,247
"Lincoln 009D","E01026160",1260,126,122,177,227,302,306
"Lincoln 009E","E01026162",1422,183,124,157,262,317,379
"Lincoln 009F","E01026163",1258,135,119,195,251,279,279
"Lincoln 010A","E01026161",1309,185,124,179,265,283,273
"Lincoln 010B","E01026170",1416,216,146,225,299,290,240
"Lincoln 010C","E01026172",1532,316,170,228,323,305,190
"Lincoln 010D","E01026173",1540,329,213,209,356,266,167
