
"TS037 - General health"
"ONS Crown Copyright Reserved [from Nomis on 8 July 2026]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Total: All usual residents","%","Very good health","%","Good health","%","Fair health","%","Bad health","%","Very bad health","%"

"Lincoln 001A","E01026149",1704,100.0,702,41.2,595,34.9,269,15.8,109,6.4,29,1.7
"Lincoln 001B","E01026150",1764,100.0,672,38.1,620,35.1,292,16.6,142,8.0,38,2.2
"Lincoln 001C","E01026166",1438,100.0,584,40.6,502,34.9,245,17.0,76,5.3,31,2.2
"Lincoln 001D","E01026168",1736,100.0,684,39.4,637,36.7,270,15.6,114,6.6,31,1.8
"Lincoln 002A","E01026153",2560,100.0,1237,48.3,836,32.7,365,14.3,97,3.8,25,1.0
"Lincoln 002B","E01026155",1846,100.0,900,48.8,683,37.0,191,10.3,53,2.9,19,1.0
"Lincoln 002C","E01026157",1410,100.0,532,37.7,473,33.5,278,19.7,100,7.1,27,1.9
"Lincoln 002D","E01026165",1686,100.0,648,38.4,622,36.9,289,17.1,93,5.5,34,2.0
"Lincoln 003A","E01026125",1495,100.0,610,40.8,578,38.7,203,13.6,81,5.4,23,1.5
"Lincoln 003B","E01026144",2265,100.0,1177,52.0,802,35.4,218,9.6,61,2.7,7,0.3
"Lincoln 003C","E01026147",2488,100.0,1217,48.9,918,36.9,282,11.3,56,2.3,15,0.6
"Lincoln 003D","E01026148",1884,100.0,806,42.8,684,36.3,298,15.8,77,4.1,19,1.0
"Lincoln 003E","E01026151",2102,100.0,957,45.5,747,35.5,288,13.7,92,4.4,18,0.9
"Lincoln 003F","E01026164",1567,100.0,734,46.8,555,35.4,201,12.8,58,3.7,19,1.2
"Lincoln 003G","E01026167",1829,100.0,898,49.1,654,35.8,184,10.1,78,4.3,15,0.8
"Lincoln 004A","E01026122",2129,100.0,1038,48.8,778,36.5,241,11.3,55,2.6,17,0.8
"Lincoln 004B","E01026123",2580,100.0,1231,47.7,849,32.9,334,12.9,128,5.0,38,1.5
"Lincoln 004C","E01026124",1814,100.0,791,43.6,707,39.0,230,12.7,67,3.7,19,1.0
"Lincoln 004D","E01026126",1940,100.0,706,36.4,725,37.4,324,16.7,154,7.9,31,1.6
"Lincoln 004E","E01026152",1553,100.0,621,40.0,509,32.8,283,18.2,109,7.0,31,2.0
"Lincoln 004F","E01026154",1406,100.0,638,45.4,480,34.1,205,14.6,70,5.0,13,0.9
"Lincoln 004G","E01026156",1295,100.0,541,41.8,477,36.8,197,15.2,62,4.8,18,1.4
"Lincoln 005A","E01026132",3696,100.0,1673,45.3,1469,39.7,445,12.0,89,2.4,20,0.5
"Lincoln 005C","E01026145",1668,100.0,812,48.7,639,38.3,168,10.1,41,2.5,8,0.5
"Lincoln 005D","E01026146",2024,100.0,841,41.6,757,37.4,298,14.7,96,4.7,32,1.6
"Lincoln 005E","E01034687",1243,100.0,560,45.1,507,40.8,146,11.7,27,2.2,3,0.2
"Lincoln 005F","E01034688",1812,100.0,877,48.4,753,41.6,157,8.7,23,1.3,2,0.1
"Lincoln 006A","E01026134",2004,100.0,826,41.2,756,37.7,312,15.6,86,4.3,24,1.2
"Lincoln 006B","E01026176",2114,100.0,922,43.6,790,37.4,262,12.4,111,5.3,29,1.4
"Lincoln 006C","E01026177",2231,100.0,1122,50.3,809,36.3,226,10.1,62,2.8,12,0.5
"Lincoln 006D","E01026178",1972,100.0,858,43.5,722,36.6,280,14.2,92,4.7,20,1.0
"Lincoln 007A","E01026127",1425,100.0,557,39.1,520,36.5,240,16.8,87,6.1,21,1.5
"Lincoln 007C","E01026129",1749,100.0,633,36.2,649,37.1,309,17.7,122,7.0,36,2.1
"Lincoln 007D","E01026131",1388,100.0,499,36.0,559,40.3,219,15.8,84,6.1,27,1.9
"Lincoln 007E","E01034689",1186,100.0,558,47.0,452,38.1,137,11.6,35,3.0,4,0.3
"Lincoln 007F","E01034690",1571,100.0,685,43.6,583,37.1,222,14.1,63,4.0,18,1.1
"Lincoln 008B","E01026135",1756,100.0,738,42.0,634,36.1,283,16.1,88,5.0,13,0.7
"Lincoln 008C","E01026136",1770,100.0,829,46.8,650,36.7,214,12.1,59,3.3,18,1.0
"Lincoln 008D","E01026174",1516,100.0,698,46.0,528,34.8,211,13.9,63,4.2,16,1.1
"Lincoln 008E","E01034691",2913,100.0,1353,46.4,1194,41.0,295,10.1,53,1.8,18,0.6
"Lincoln 008F","E01034692",1455,100.0,662,45.5,559,38.4,167,11.5,49,3.4,18,1.2
"Lincoln 009A","E01026130",1380,100.0,594,43.0,495,35.9,222,16.1,54,3.9,15,1.1
"Lincoln 009B","E01026158",1420,100.0,546,38.5,577,40.6,215,15.1,61,4.3,21,1.5
"Lincoln 009C","E01026159",1488,100.0,688,46.2,536,36.0,196,13.2,55,3.7,13,0.9
"Lincoln 009D","E01026160",1331,100.0,579,43.5,512,38.5,183,13.7,48,3.6,9,0.7
"Lincoln 009E","E01026162",1498,100.0,645,43.1,531,35.4,243,16.2,64,4.3,15,1.0
"Lincoln 009F","E01026163",1316,100.0,559,42.5,492,37.4,197,15.0,52,4.0,16,1.2
"Lincoln 010A","E01026161",1384,100.0,529,38.2,461,33.3,258,18.6,83,6.0,53,3.8
"Lincoln 010B","E01026170",1531,100.0,594,38.8,588,38.4,252,16.5,79,5.2,18,1.2
"Lincoln 010C","E01026172",1637,100.0,680,41.5,606,37.0,242,14.8,80,4.9,29,1.8
"Lincoln 010D","E01026173",1666,100.0,654,39.3,609,36.6,282,16.9,91,5.5,30,1.8
"Lincoln 010E","E01026175",1839,100.0,737,40.1,717,39.0,285,15.5,79,4.3,21,1.1
"Lincoln 011A","E01026137",1188,100.0,514,43.3,480,40.4,150,12.6,39,3.3,5,0.4
"Lincoln 011B","E01026138",1472,100.0,677,46.0,534,36.3,206,14.0,47,3.2,8,0.5
"Lincoln 011C","E01026139",1364,100.0,646,47.4,495,36.3,176,12.9,39,2.9,8,0.6
"Lincoln 011D","E01026140",1336,100.0,555,41.5,491,36.8,215,16.1,58,4.3,17,1.3
"Lincoln 011E","E01026141",1576,100.0,799,50.7,526,33.4,187,11.9,48,3.0,16,1.0
"Lincoln 011F","E01026142",1201,100.0,492,41.0,443,36.9,183,15.2,64,5.3,19,1.6
"Lincoln 011G","E01026169",1672,100.0,702,42.0,595,35.6,251,15.0,100,6.0,24,1.4
"Lincoln 011H","E01026171",1540,100.0,675,43.8,570,37.0,221,14.4,59,3.8,15,1.0
"East Lindsey 001A","E01026045",1881,100.0,717,38.1,697,37.1,332,17.7,113,6.0,22,1.2
"East Lindsey 001B","E01026061",1123,100.0,431,38.4,477,42.5,164,14.6,38,3.4,13,1.2
"East Lindsey 001C","E01026062",1149,100.0,500,43.5,424,36.9,168,14.6,44,3.8,13,1.1
"East Lindsey 001D","E01026063",1554,100.0,738,47.5,534,34.4,216,13.9,52,3.3,14,0.9
