
"TS038 - Disability"
"ONS Crown Copyright Reserved [from Nomis on 8 July 2026]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Total: All usual residents","%","Disabled under the Equality Act","%","Disabled under the Equality Act: Day-to-day activities limited a lot","%","Disabled under the Equality Act: Day-to-day activities limited a little","%","Not disabled under the Equality Act","%","Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited","%","Not disabled under the Equality Act: No long term physical or mental health conditions","%"

"Lincoln 001A","E01026149",1705,100.0,436,25.6,199,11.7,237,13.9,1269,74.4,111,6.5,1158,67.9
"Lincoln 001B","E01026150",1765,100.0,488,27.6,226,12.8,262,14.8,1277,72.4,137,7.8,1140,64.6
"Lincoln 001C","E01026166",1438,100.0,358,24.9,180,12.5,178,12.4,1080,75.1,109,7.6,971,67.5
"Lincoln 001D","E01026168",1737,100.0,463,26.7,212,12.2,251,14.5,1274,73.3,95,5.5,1179,67.9
"Lincoln 002A","E01026153",2563,100.0,524,20.4,226,8.8,298,11.6,2039,79.6,218,8.5,1821,71.0
"Lincoln 002B","E01026155",1845,100.0,292,15.8,102,5.5,190,10.3,1553,84.2,154,8.3,1399,75.8
"Lincoln 002C","E01026157",1409,100.0,370,26.3,182,12.9,188,13.3,1039,73.7,106,7.5,933,66.2
"Lincoln 002D","E01026165",1686,100.0,409,24.3,180,10.7,229,13.6,1277,75.7,131,7.8,1146,68.0
"Lincoln 003A","E01026125",1495,100.0,376,25.2,137,9.2,239,16.0,1119,74.8,111,7.4,1008,67.4
"Lincoln 003B","E01026144",2265,100.0,374,16.5,96,4.2,278,12.3,1891,83.5,192,8.5,1699,75.0
"Lincoln 003C","E01026147",2486,100.0,449,18.1,153,6.2,296,11.9,2037,81.9,203,8.2,1834,73.8
"Lincoln 003D","E01026148",1883,100.0,421,22.4,139,7.4,282,15.0,1462,77.6,189,10.0,1273,67.6
"Lincoln 003E","E01026151",2101,100.0,414,19.7,161,7.7,253,12.0,1687,80.3,180,8.6,1507,71.7
"Lincoln 003F","E01026164",1567,100.0,325,20.7,121,7.7,204,13.0,1242,79.3,130,8.3,1112,71.0
"Lincoln 003G","E01026167",1826,100.0,338,18.5,122,6.7,216,11.8,1488,81.5,169,9.3,1319,72.2
"Lincoln 004A","E01026122",2129,100.0,353,16.6,99,4.7,254,11.9,1776,83.4,169,7.9,1607,75.5
