
"TS039 - Provision of unpaid care"
"ONS Crown Copyright Reserved [from Nomis on 8 July 2026]"
"Population :","All usual residents aged 5 and over"
"Units      :","Persons"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Total: All usual residents aged 5 and over","%","Provides no unpaid care","%","Provides 19 hours or less unpaid care a week","%","Provides 9 hours or less unpaid care a week","%","Provides 10 to 19 hours unpaid care a week","%","Provides 20 to 49 hours unpaid care a week","%","Provides 20 to 34 hours unpaid care a week","%","Provides 35 to 49 hours unpaid care a week","%","Provides 50 or more hours unpaid care a week","%"

"Lincoln 001A","E01026149",1589,100.0,1408,88.6,75,4.7,45,2.8,30,1.9,35,2.2,13,0.8,22,1.4,71,4.5
"Lincoln 001B","E01026150",1649,100.0,1501,91.0,52,3.2,29,1.8,23,1.4,38,2.3,20,1.2,18,1.1,58,3.5
"Lincoln 001C","E01026166",1332,100.0,1187,89.1,57,4.3,45,3.4,12,0.9,38,2.9,11,0.8,27,2.0,50,3.8
"Lincoln 001D","E01026168",1592,100.0,1399,87.9,54,3.4,37,2.3,17,1.1,57,3.6,28,1.8,29,1.8,82,5.2
"Lincoln 002A","E01026153",2409,100.0,2206,91.6,91,3.8,57,2.4,34,1.4,39,1.6,21,0.9,18,0.7,73,3.0
"Lincoln 002B","E01026155",1749,100.0,1594,91.1,84,4.8,63,3.6,21,1.2,20,1.1,10,0.6,10,0.6,51,2.9
"Lincoln 002C","E01026157",1341,100.0,1210,90.2,37,2.8,26,1.9,11,0.8,30,2.2,10,0.7,20,1.5,64,4.8
"Lincoln 002D","E01026165",1572,100.0,1431,91.0,46,2.9,30,1.9,16,1.0,36,2.3,16,1.0,20,1.3,59,3.8
"Lincoln 003A","E01026125",1433,100.0,1352,94.3,37,2.6,26,1.8,11,0.8,23,1.6,10,0.7,13,0.9,21,1.5
"Lincoln 003B","E01026144",2161,100.0,2033,94.1,65,3.0,49,2.3,16,0.7,25,1.2,7,0.3,18,0.8,38,1.8
